	DPV0_47	DPV0_48	DPV0_49	DPV0_50	DPV3_47	DPV3_48	DPV3_49	DPV3_50	DPI3_47	DPI3_48	DPI3_49	DPI3_50	DPI6_47	DPI6_48	DPI6_49	DPI6_50	DPI9_47	DPI9_48	DPI9_49	DPI9_50	DPI14_48	DPI14_49	DPI14_50	DPI21_48	DPI21_49	DPI21_50	DPI42_48	DPI42_49	DPI42_50
CPXM1	7	5	13	15	8	6	20	10	17	10	15	9	250	13	148	33	705	5	197	15	2	28	6	0	4	3	1	0	5
CRADD	0	0	2	2	0	0	0	0	0	0	1	2	5	1	4	5	29	0	1	0	1	3	0	0	1	0	0	1	2
CRIP3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1
CRISP3	0	0	0	0	0	0	1	2	4	2	0	0	7	3	4	2	5	0	3	0	0	1	0	1	0	0	0	0	0
CRISPLD1	0	0	0	0	1	0	0	0	0	0	1	0	5	1	4	2	1	0	2	0	0	4	0	0	1	0	0	1	0
CRYBA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	1	0	0	0	0	0
CRYGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
CSAG2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
CSAG2.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
CSMD3	2	0	3	2	0	0	1	3	5	0	0	0	26	2	2	5	18	0	10	0	2	1	0	0	0	0	0	0	0
CSRP3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CST11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CT45A2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	2	0	1	0	0	0	0	0	0
CTH	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
CTSL	138	105	440	227	262	152	494	349	652	460	316	247	1922	332	1162	421	3694	114	951	316	147	565	247	194	193	151	85	158	309
CUL4B	1	0	0	2	1	3	14	11	32	12	0	0	17	0	0	1	24	0	10	1	1	3	3	0	2	0	0	3	3
CX3CL1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	1	0	0	0	0	1	0	0	0	0	3
CXCL13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CXCL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
CYLD	0	0	1	0	3	1	5	6	21	7	3	2	1	0	2	1	2	1	4	3	0	3	1	0	1	1	0	1	1
CYP20A1	21	14	24	19	29	9	20	24	8	1	40	16	13	3	9	8	273	5	47	21	8	84	23	23	49	14	9	23	58
CYS1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DAB2	0	0	0	0	0	0	4	0	1	0	4	1	8	6	6	3	25	2	5	3	0	3	0	0	1	0	1	0	1
DAPP1	2	2	5	6	5	0	8	5	89	26	0	0	5	1	6	1	12	0	5	0	1	3	0	6	2	3	1	2	8
DCAF13.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DCN	0	0	1	0	0	0	2	0	0	0	0	0	11	0	2	1	8	0	5	2	2	0	0	0	0	0	0	0	0
DDX47	2	7	10	7	20	3	16	10	17	9	14	6	18	4	20	4	98	5	24	3	9	38	19	17	26	7	11	24	38
DDX60L	0	2	1	0	0	0	23	12	151	64	3	2	7	10	6	2	3	0	3	2	0	6	4	0	0	0	0	0	0
DEFA6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
DEFB1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DEFB107A	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0
DEFB108B	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	7	0	0	0	0	0	1	0	0	0	0	0	0
DEFB110	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEFB112	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEFB115	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEFB124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
DEFB134	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEPDC1B	54	37	182	86	104	40	120	92	266	213	104	64	623	98	346	118	1318	32	277	85	68	163	97	78	97	63	53	77	188
DERA	0	0	0	0	0	0	0	0	1	2	0	0	5	0	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0
DGAT2L6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
DIAPH2	1	0	1	0	2	0	5	2	11	6	1	0	10	1	2	1	12	0	1	0	0	2	0	0	1	1	0	0	0
DICER1	0	3	1	1	0	2	10	8	7	8	2	0	29	1	11	1	18	0	7	2	0	8	2	1	0	1	0	1	2
DLEU7	0	1	1	3	0	0	0	0	0	1	1	0	14	6	14	7	26	0	6	0	0	3	1	0	1	0	0	1	2
DLX5	1	0	1	2	1	0	5	1	1	0	2	1	17	0	5	0	16	1	5	0	0	7	0	0	0	0	3	0	0
DMAC1	0	0	0	0	0	0	1	2	0	0	0	0	8	0	3	0	4	1	1	0	0	0	1	0	0	2	1	0	0
DNAAF4	0	0	1	0	0	2	10	4	0	0	0	0	7	0	2	1	5	0	2	0	0	0	0	0	0	0	0	1	1
DNAAF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1
DNAH8	1	1	1	0	1	0	7	1	15	2	4	3	33	2	11	3	22	0	15	3	0	3	1	0	1	1	0	1	0
DNAJC8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DNALI1	0	0	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0
DPPA2	0	0	0	0	0	0	0	0	1	0	0	0	5	0	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0
DPYSL2	0	1	1	0	0	0	4	0	0	0	0	2	14	0	3	0	0	0	4	2	0	3	0	1	0	0	0	0	1
DPYSL3	0	0	0	0	4	0	0	1	0	0	1	0	6	1	5	1	16	1	4	1	1	1	0	0	0	0	0	1	0
DRC1	0	0	1	0	1	0	0	0	0	3	1	0	4	1	4	5	22	0	2	0	0	1	0	0	0	1	0	0	1
DRP2	0	0	0	0	0	0	2	3	0	2	3	0	8	3	1	1	16	0	3	0	0	0	0	1	0	0	0	0	0
DSC3	10	4	9	9	3	1	7	4	4	0	12	4	14	1	16	2	92	1	12	4	6	37	12	3	7	4	4	10	16
DUSP11	0	0	0	0	0	0	2	2	7	5	0	0	1	0	0	0	11	0	0	0	0	0	0	1	0	0	0	0	0
DUSP12	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	7	0	3	0	0	3	0	1	0	0	0	0	3
DUSP26	0	1	2	1	1	0	1	6	5	0	0	0	2	0	3	0	36	0	7	2	3	9	2	3	10	4	2	7	13
DUXA	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
EAPP.1	0	1	0	0	0	0	1	3	4	2	1	0	8	2	3	2	1	0	3	0	0	2	0	0	0	0	0	0	0
EBI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EBP	0	1	0	0	3	1	3	0	4	1	0	0	17	2	6	2	12	0	4	1	0	1	0	1	1	0	0	1	0
EBPL	0	0	0	1	3	0	0	1	4	3	0	0	1	0	1	0	0	0	1	1	2	0	0	1	0	0	2	2	0
EDA	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	2	1	0	0	0	0	0	0
EDA2R	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
EDN3	0	0	0	0	0	0	1	0	0	0	0	0	4	0	2	0	8	0	0	0	0	3	0	2	0	0	0	0	0
EEF1AKMT2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	3	0	0	0	0	0	0	0
EFCAB11	0	0	0	0	0	0	0	1	8	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFCAB12	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0
EFHC2	1	0	1	0	0	1	0	0	4	0	1	2	18	1	0	2	17	0	3	5	0	3	1	0	0	0	0	1	0
EFHD1	26	20	8	32	12	3	25	36	3	1	55	11	7	0	9	8	285	4	57	20	21	211	39	21	36	22	28	54	70
EGLN3	0	0	0	0	0	0	1	0	4	0	0	0	3	0	0	0	12	0	2	0	0	2	0	0	0	0	0	0	0
EIF1B	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
EIF3D	13	12	14	23	21	8	31	25	11	7	27	13	10	3	13	2	192	8	41	25	15	48	38	41	39	22	17	43	59
EIF3K	0	0	0	0	1	1	8	5	4	7	0	0	0	0	0	0	0	0	2	2	0	0	3	0	0	0	0	1	0
EIF4E3.1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
EIPR1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0
ELANE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1
ELF4	47	38	60	78	68	20	95	111	15	4	112	79	18	3	34	35	855	33	219	89	23	105	46	41	60	49	54	58	113
ELOC	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL5	0	1	0	0	0	0	8	6	51	16	5	0	11	2	2	4	2	2	2	0	0	1	0	0	0	0	1	1	4
ELOVL6	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0
ENPP1	0	0	2	0	0	0	1	0	4	0	0	0	22	1	10	2	12	0	11	5	0	4	1	0	1	0	0	0	0
ENPP3	1	0	2	3	3	0	3	0	2	0	2	0	18	1	5	1	14	0	3	2	4	3	2	5	5	2	0	6	3
ENPP5	0	0	1	2	6	0	0	0	1	6	0	1	5	0	0	0	3	1	2	1	0	2	0	1	0	3	0	2	2
EPCAM	0	0	0	0	0	0	0	0	0	0	0	1	8	0	4	1	2	0	1	0	0	0	0	0	0	0	0	0	0
EPHA4	0	1	0	2	1	0	0	1	5	0	1	2	15	1	5	3	13	0	5	0	1	2	0	0	0	0	0	0	0
EPS8	0	0	0	0	0	0	2	1	2	2	1	3	10	1	5	0	11	0	1	0	0	4	0	0	0	0	0	0	2
ERCC6L2	0	0	0	0	0	0	0	4	12	7	0	0	6	1	4	2	18	0	2	0	0	0	1	0	0	0	0	0	2
ERICH2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERLIN2	0	0	1	0	1	0	1	2	2	0	0	1	6	3	6	4	6	1	6	1	1	4	0	0	0	0	0	4	0
ETV5	0	0	1	0	0	0	0	0	0	0	0	0	13	0	4	0	13	0	7	2	1	1	0	0	0	0	0	1	0
EVA1A	0	0	0	0	2	0	0	0	0	0	0	0	3	0	2	0	6	0	2	0	0	2	0	0	0	0	0	0	0
EVI2A	4	3	4	7	7	4	38	29	137	48	7	5	3	7	7	9	3	8	8	15	6	15	12	10	16	21	3	13	9
EXD2	0	1	0	0	4	0	0	0	0	0	0	0	21	3	6	2	8	0	10	0	0	6	2	1	0	0	0	2	1
EXOC3L2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	5	0	0	1	2	0	0	0
EYA1	2	2	1	0	0	0	0	1	1	0	0	1	19	1	6	0	7	0	4	2	1	1	1	0	0	0	0	0	0
F11	0	0	0	1	2	0	1	1	2	0	0	0	18	0	1	5	17	0	5	1	0	0	0	1	0	0	0	0	0
FABP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
FAF2	24	13	16	24	23	10	28	29	1	4	46	34	14	0	10	11	244	13	59	29	17	116	35	23	43	38	16	52	128
FAIM2	1	1	3	6	7	1	9	3	0	1	1	1	2	0	5	3	30	1	6	2	7	20	22	14	20	20	10	13	32
FAM120B	0	0	0	0	0	0	0	1	8	4	0	0	5	1	4	1	10	0	1	0	0	6	0	0	1	0	0	0	0
FAM120C	0	0	0	0	1	0	0	6	1	0	0	2	19	3	2	0	37	1	2	3	1	1	2	0	0	0	1	0	0
FAM122B	0	0	0	0	0	0	0	0	2	1	0	0	1	0	2	0	24	0	1	0	0	1	1	0	0	0	0	1	0
FAM122C	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM129A	0	0	0	0	2	0	10	14	90	11	8	7	10	1	15	5	17	2	2	1	1	5	4	0	3	0	2	1	4
FAM131C.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
FAM133A	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	11	0	4	0	0	0	0	0	0	0	0	0	0
FAM133B.2	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
FAM155A	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
FAM163B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	3	0	0	0	0	0	0	0
FAM181B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0
FAM187A	0	0	0	0	3	0	3	0	0	0	0	0	2	0	1	0	5	0	1	0	0	3	0	0	0	0	0	0	0
FAM19A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM228B	0	0	0	0	0	1	13	11	40	18	2	0	1	3	0	1	2	0	1	0	0	3	0	0	0	0	0	0	0
FAM24B	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM47C	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM49B	0	1	2	2	0	0	19	11	87	26	4	0	12	5	5	9	19	1	2	1	0	5	2	0	0	3	2	2	1
FAS	2	1	1	4	1	1	2	4	61	12	4	3	8	0	1	2	3	0	8	1	2	1	1	1	1	3	0	1	2
FBLIM1	2	4	7	9	5	1	9	13	1	0	4	1	0	0	1	1	31	2	4	3	2	12	6	4	13	5	4	10	20
FBP2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL5	0	1	1	4	0	0	2	1	65	21	5	0	3	0	3	0	2	1	1	0	0	3	0	0	0	0	0	0	0
FBXO42	0	0	1	0	0	0	0	6	3	3	2	4	11	2	3	3	16	0	3	0	0	4	1	0	0	0	0	1	0
FBXO48	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
FCHSD2	27	14	34	24	31	4	19	20	44	22	24	9	12	13	12	16	10	9	32	27	8	21	16	26	18	20	7	28	45
FEZF1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	8	0	0	0	1	0	0	0	0	0	0	0	0
FFAR2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
FGF10	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	5	0	3	1	0	2	0	0	0	0	0	0	0
FGF16	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	0	4	0	0	0	0	1	0	0
FGF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	10	1	0	0	0	0	0	0
FHL5	0	0	0	0	0	0	1	0	0	0	0	0	3	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
FIBCD1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	0	0	1	8	3	0	0	0	0	0	0
FITM1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0
FKBP1B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	0	1	1	2	2	0	2	2	0
FMOD	0	0	2	1	0	0	3	0	0	0	0	3	10	0	2	0	30	0	4	3	0	5	1	0	0	0	0	3	1
FOXL2NB	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
FOXM1	2	2	9	8	11	3	6	9	0	1	0	1	0	2	1	0	3	2	4	4	2	16	11	9	10	1	6	17	25
FOXP2	0	0	0	0	0	1	1	1	0	0	0	0	9	3	10	0	29	0	2	0	0	4	0	0	0	0	0	0	1
FRRS1	0	0	0	0	0	0	0	0	0	0	0	0	9	1	4	1	9	0	3	1	0	1	0	0	0	0	0	0	0
FSHR	0	0	0	1	0	0	0	1	0	0	0	0	7	1	1	2	7	0	1	0	0	1	0	0	0	2	0	0	0
FUS	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	9	0	1	0	0	4	0	0	0	1	0	1	2
GAB3	0	0	0	0	1	0	7	0	9	1	0	2	20	1	7	3	5	0	1	2	0	3	0	0	0	0	1	1	1
GABRA2	2	1	0	0	1	1	0	1	4	0	0	0	11	1	2	2	13	0	1	1	0	0	1	0	0	0	0	0	0
GABRA3	0	0	0	0	0	0	0	0	0	1	0	0	12	0	1	2	8	0	1	0	0	0	0	0	0	0	0	0	0
GABRB2	0	0	0	0	0	1	4	0	3	0	1	0	13	2	2	0	15	0	3	1	1	3	0	0	0	0	0	0	0
GABRG1	0	0	0	0	0	0	2	0	0	0	0	0	1	3	1	1	11	0	0	0	0	0	0	0	0	0	0	0	0
GALP	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1
GBP1	8	2	1	1	13	1	85	172	1958	847	26	55	35	26	29	14	6	2	24	1	0	3	8	0	3	1	4	5	0
GBP3	1	3	1	0	5	2	4	10	101	44	2	8	8	7	7	1	4	0	6	2	8	2	6	1	2	1	1	2	2
GBP6	0	1	1	0	0	0	12	13	124	54	7	8	8	0	4	8	4	0	8	2	0	1	0	0	0	0	0	0	1
GBP6.1	30	14	64	66	36	13	69	75	262	113	49	33	251	62	104	53	293	8	72	32	36	168	58	62	97	47	36	93	176
GCA	0	1	0	0	0	0	2	4	101	2	1	1	5	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0
GCN1	11	13	25	39	21	9	30	29	3	6	50	10	7	1	10	10	292	4	62	24	14	55	32	23	45	30	35	44	88
GCNT1	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GCOM1	123	58	257	169	173	74	202	199	520	489	164	102	1005	241	599	240	1774	53	499	182	217	365	246	205	164	136	104	152	292
GDF9	0	0	1	0	0	0	0	2	0	4	3	0	15	0	2	4	14	0	6	0	0	2	0	0	2	0	0	0	1
GDPD1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	4	0	2	0	0	2	0	1	0	0	0	0	0
GEMIN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
GFRA1	0	0	1	0	2	0	4	0	6	1	3	2	21	1	13	3	19	0	3	1	0	3	0	0	0	0	0	0	1
GHR	0	0	2	0	0	0	0	0	0	2	0	0	16	0	2	2	4	0	1	0	0	1	1	1	0	0	0	0	2
GHRL	3	5	9	8	4	2	4	2	5	2	1	0	1	0	1	2	16	5	17	21	0	2	4	4	8	2	5	9	20
GIPC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	1	0	0	1	0	0	0
GJA10	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GK	5	6	10	15	18	4	4	18	127	36	17	5	21	11	19	17	8	2	13	13	4	16	10	8	13	6	9	4	32
GLIPR1L2	0	3	2	0	1	0	0	0	0	1	0	0	19	0	5	1	25	0	0	0	0	1	0	0	0	0	0	0	1
GLRA2	0	0	0	0	0	0	0	0	0	0	0	1	15	2	4	0	9	0	5	0	0	0	0	1	0	0	0	0	1
GLRA4	1	0	1	2	0	0	1	0	5	0	0	0	16	7	6	1	13	0	3	0	0	0	0	0	1	0	0	1	0
GLT6D1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GLYATL3	0	0	0	0	1	1	2	1	0	0	0	0	5	3	8	6	6	0	1	0	0	0	0	0	0	0	0	0	0
GNA13	0	1	4	1	0	0	19	8	88	27	5	1	7	6	7	3	8	0	4	0	0	5	0	2	0	0	2	2	1
GNG10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
GNG10.1	0	1	3	0	1	0	3	5	78	18	0	2	1	0	0	0	3	1	0	0	1	0	1	0	1	3	0	0	1
GNG13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
GNG5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
GNG7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA4	4	2	1	1	2	3	24	28	156	60	4	5	14	7	10	3	11	0	13	10	0	3	1	1	0	3	0	0	5
GORASP1	10	10	21	15	15	2	0	8	6	7	18	13	2	6	1	6	0	5	12	8	3	6	8	7	23	11	16	14	38
GOT1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	14	0	2	0	0	0	0	0	0	0	0	0	0
GOT2	0	0	1	2	1	0	0	1	1	1	1	0	12	1	3	0	13	0	1	1	1	4	0	2	0	0	0	1	0
GPAT4	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	6	0	1	0	0	3	0	0	0	0	0	0	0
GPD2	2	1	0	5	1	0	3	11	9	12	8	0	24	5	7	6	21	3	10	8	0	8	0	3	2	2	0	2	5
GPN2	12	8	11	18	20	5	12	25	1	0	9	8	1	0	2	2	65	1	21	15	11	40	25	17	24	14	11	27	60
GPR119	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
GPR135	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0
GPR137	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	4	1	0	0	2	0	0	1
GPR143	0	0	1	0	0	0	0	0	0	0	2	0	6	0	2	0	9	0	0	0	0	1	0	0	0	2	0	1	0
GPR37	0	0	0	0	0	0	1	0	0	0	0	0	2	3	7	2	6	0	2	0	0	2	0	0	0	0	0	0	0
GPR83	1	0	5	3	2	0	3	4	3	5	1	0	7	4	7	7	36	0	9	5	3	11	6	2	3	5	3	1	10
GPX6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
GRB14	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0
GRB2	0	0	0	0	0	0	0	4	31	4	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GRIA3	2	2	1	0	1	2	0	1	7	0	2	0	27	1	7	2	36	2	16	0	0	5	0	0	0	0	0	1	0
GRIK4	0	0	0	0	0	0	4	1	1	0	0	0	4	0	1	0	8	0	1	0	0	1	0	0	0	0	0	0	0
GRM1	0	0	2	0	0	0	1	1	1	0	1	2	6	0	0	1	16	0	2	1	0	5	1	0	0	1	0	0	0
GRM8	0	0	0	0	0	0	0	0	0	2	3	2	3	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0
GRPR	0	0	0	0	1	0	0	0	3	0	0	0	3	0	2	0	13	0	2	0	0	0	0	0	0	0	0	0	1
GSN	0	0	1	0	1	1	10	6	8	2	1	0	0	1	1	0	2	1	1	2	1	3	2	0	0	0	0	0	0
GSPT2	0	0	0	0	1	0	0	0	3	1	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
GSTCD	0	0	0	0	1	0	0	2	1	2	0	0	7	2	2	3	4	1	0	0	0	0	0	0	0	0	0	0	0
GTF2B	0	2	0	0	0	0	5	8	48	7	0	0	2	0	1	2	2	1	0	0	1	2	0	0	2	0	2	0	0
GTF2F2	0	0	1	0	0	0	0	2	21	3	0	2	10	0	3	1	2	1	4	0	0	1	2	0	0	0	0	0	0
GTF2H1	26	25	46	41	35	9	24	35	19	4	44	32	14	1	20	9	274	10	69	47	25	72	57	35	49	34	23	69	120
GTF2H4	0	0	0	0	2	0	0	1	0	0	2	0	3	0	1	0	7	0	2	1	0	1	0	0	1	0	0	0	1
GTSF1L	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
GUCA2B	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GUCY1B1	0	0	0	0	0	0	1	2	4	1	2	1	14	4	15	11	10	2	4	0	1	4	0	0	0	0	0	0	0
GYG2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	7	0	0	0	0	1	0	0	0	0	0	0	0
H2BFWT.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
HAO1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
HAO2	0	0	0	0	0	0	3	1	0	0	0	0	1	0	2	1	10	0	0	0	0	0	0	0	1	0	0	0	0
HAPLN3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	2	0	0	0	0	0	0	0
HARS2	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	5	0	2	0	0	1	0	0	0	0	0	1	0
HAUS1	2	1	0	2	0	0	0	1	11	1	1	0	11	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
HCRTR2	0	0	1	1	2	0	4	2	2	0	2	0	15	0	4	0	11	2	6	0	0	2	0	0	0	0	0	0	0
