GENE	p_val	avg_logFC	pct.1	pct.2	p_val_adj
CCND2	0.111719588	0.777117042	0.6	0.25	1
SSU72	0.111719588	0.586562205	0.6	0.25	1
REV3L	0.111719588	0.385840486	0.6	0.25	1
CENPF	0.111719588	0.340786185	0.6	0.25	1
CCDC66	0.112889467	0.620050697	0.7	0.333	1
CASP8AP2	0.116093985	1.57321873	0.4	0.083	1
HSF1	0.116093985	1.383190978	0.4	0.083	1
PGM3	0.116093985	1.173135434	0.4	0.083	1
COPS5	0.116093985	1.090101021	0.4	0.083	1
TADA3	0.116093985	0.931520665	0.4	0.083	1
SNX2	0.116093985	0.917263237	0.4	0.083	1
RPS6KA5	0.116093985	0.631369797	0.4	0.083	1
TM9SF1	0.116093985	0.578133749	0.4	0.083	1
SLC6A6	0.116093985	0.567509821	0.4	0.083	1
QRSL1	0.116093985	0.54250369	0.4	0.083	1
TMED5	0.116093985	0.503345771	0.4	0.083	1
STAT2	0.116093985	0.502931405	0.4	0.083	1
PDLIM5	0.116093985	0.463225493	0.4	0.083	1
SNRNP40	0.116093985	0.44391264	0.4	0.083	1
BIN1	0.116093985	0.433654151	0.4	0.083	1
PHF20L1	0.116093985	0.418789954	0.4	0.083	1
ABHD6	0.116093985	0.362278229	0.4	0.083	1
SETD3	0.116093985	0.348104597	0.4	0.083	1
R3HCC1	0.116093985	0.331640597	0.4	0.083	1
CCDC28A	0.116093985	0.310812513	0.4	0.083	1
MON2	0.116093985	0.283895687	0.4	0.083	1
MEMO1	0.116093985	0.279332231	0.4	0.083	1
FAM158A	0.116093985	0.270310479	0.4	0.083	1
RPL9	0.119145927	-0.466716361	0.8	0.75	1
USP44	0.119965249	2.029936226	0.5	0.167	1
MDH1	0.119965249	1.029779264	0.5	0.167	1
SFRS15	0.119965249	0.908697314	0.5	0.167	1
MAD2L2	0.119965249	0.760360026	0.5	0.167	1
GTPBP4	0.119965249	0.637262733	0.5	0.167	1
CD46	0.119965249	0.57148858	0.5	0.167	1
DNAJC19	0.119965249	0.378822343	0.5	0.167	1
NAF1	0.119965249	0.312868693	0.5	0.167	1
DYRK2	0.119965249	-0.567597269	0.5	0.167	1
RPL19	0.120199326	0.407156928	1	0.667	1
PNN	0.121579701	2.825873454	0.6	0.333	1
PSMA5	0.121579701	1.118096426	0.6	0.333	1
H2AFV	0.121579701	0.828077775	0.6	0.333	1
DBF4	0.121579701	0.769655996	0.6	0.333	1
DNAJB6	0.121579701	0.678174513	0.6	0.333	1
TOP2B	0.121579701	0.603499103	0.6	0.333	1
AKAP9	0.124396915	1.671955539	0.8	0.417	1
TMUB1	0.126055115	0.744301437	0.5	0.25	1
WAS	0.127675044	0.776992759	0.7	0.417	1
SEC61G	0.127675044	0.461022221	0.7	0.417	1
PELI1	0.128487445	0.676412619	0.8	0.5	1
STRIP2	0.128616269	1.721106204	0.2	0	1
PLXNA3	0.128616269	1.6725885	0.2	0	1
TPM2.1	0.128616269	1.661670417	0.2	0	1
MICAL1	0.128616269	1.540439284	0.2	0	1
SCARB2	0.128616269	1.464451466	0.2	0	1
ZMAT3	0.128616269	1.416624917	0.2	0	1
FAM13A	0.128616269	1.387530438	0.2	0	1
SLC16A4	0.128616269	1.358571281	0.2	0	1
U6.199	0.128616269	1.317869872	0.2	0	1
POLR1B	0.128616269	1.316045706	0.2	0	1
ZFYVE1	0.128616269	1.306585786	0.2	0	1
MFAP3	0.128616269	1.166247114	0.2	0	1
MSH2	0.128616269	1.145969603	0.2	0	1
NEU1	0.128616269	1.087901999	0.2	0	1
CD109	0.128616269	1.053926384	0.2	0	1
KIN	0.128616269	1.042326857	0.2	0	1
RAPGEF2	0.128616269	1.040766408	0.2	0	1
PTBP2	0.128616269	1.038590328	0.2	0	1
ZNF76	0.128616269	1.034781038	0.2	0	1
ANKRD52	0.128616269	1.033715887	0.2	0	1
PPP1R13B	0.128616269	0.962011492	0.2	0	1
MUT	0.128616269	0.919930603	0.2	0	1
RECQL4	0.128616269	0.893541396	0.2	0	1
TTLL5	0.128616269	0.883088504	0.2	0	1
SSH1	0.128616269	0.877537524	0.2	0	1
PPP2CB	0.128616269	0.851458172	0.2	0	1
WWP1	0.128616269	0.849590304	0.2	0	1
FOSL2	0.128616269	0.831365955	0.2	0	1
DNAJC16	0.128616269	0.798800184	0.2	0	1
PRIM2	0.128616269	0.782903546	0.2	0	1
SLAMF6	0.128616269	0.765997577	0.2	0	1
PPAT	0.128616269	0.763157436	0.2	0	1
HDAC8	0.128616269	0.760066961	0.2	0	1
EXOSC4	0.128616269	0.755268932	0.2	0	1
IL1R1	0.128616269	0.743514651	0.2	0	1
KIAA1257	0.128616269	0.718643718	0.2	0	1
MYNN	0.128616269	0.706909022	0.2	0	1
CCNB1	0.128616269	0.691686527	0.2	0	1
AP3S2	0.128616269	0.674732648	0.2	0	1
BPGM	0.128616269	0.674566911	0.2	0	1
SNX13	0.128616269	0.673523499	0.2	0	1
ATG4C	0.128616269	0.654749236	0.2	0	1
FNTB	0.128616269	0.641385441	0.2	0	1
BBS7	0.128616269	0.636881393	0.2	0	1
ANKRD13A	0.128616269	0.628068298	0.2	0	1
KTI12	0.128616269	0.623543754	0.2	0	1
SFT2D3	0.128616269	0.623234576	0.2	0	1
UTP3	0.128616269	0.617519375	0.2	0	1
ARMCX3	0.128616269	0.611685629	0.2	0	1
C1H1ORF50	0.128616269	0.610297948	0.2	0	1
EPT1	0.128616269	0.596946897	0.2	0	1
ZP3	0.128616269	0.578604522	0.2	0	1
PHF17	0.128616269	0.561824968	0.2	0	1
PTPN9	0.128616269	0.56041144	0.2	0	1
HAPLN3	0.128616269	0.557732163	0.2	0	1
PPP1R3F	0.128616269	0.55220974	0.2	0	1
THAP3	0.128616269	0.550134335	0.2	0	1
LYNX1	0.128616269	0.549262164	0.2	0	1
DIS3L	0.128616269	0.548209872	0.2	0	1
ETV7	0.128616269	0.539575341	0.2	0	1
SLCO3A1	0.128616269	0.536014966	0.2	0	1
STX12	0.128616269	0.534155112	0.2	0	1
USP19	0.128616269	0.531628673	0.2	0	1
TMEM222	0.128616269	0.527471189	0.2	0	1
SNX16	0.128616269	0.509391808	0.2	0	1
VIPAS39	0.128616269	0.495309206	0.2	0	1
ZFYVE20	0.128616269	0.492114186	0.2	0	1
RACGAP1	0.128616269	0.490563387	0.2	0	1
TRAV5	0.128616269	0.485976786	0.2	0	1
GTF2E2	0.128616269	0.481952052	0.2	0	1
DEPDC1	0.128616269	0.481003641	0.2	0	1
RBM15B	0.128616269	0.479562105	0.2	0	1
CDCA3	0.128616269	0.479144592	0.2	0	1
TIMM8A	0.128616269	0.473418758	0.2	0	1
METTL17	0.128616269	0.471767553	0.2	0	1
ATG2B	0.128616269	0.470926046	0.2	0	1
CLDN4	0.128616269	0.455448663	0.2	0	1
COQ6	0.128616269	0.45513235	0.2	0	1
ABCG2	0.128616269	0.454173517	0.2	0	1
CCDC112	0.128616269	0.432869918	0.2	0	1
ZFYVE16	0.128616269	0.429575605	0.2	0	1
CHI3L2	0.128616269	0.427603233	0.2	0	1
PLEKHG1	0.128616269	0.427485607	0.2	0	1
TUBE1	0.128616269	0.424362963	0.2	0	1
CD9	0.128616269	0.420542393	0.2	0	1
SP1	0.128616269	0.416524547	0.2	0	1
FBXO41	0.128616269	0.416494762	0.2	0	1
snosnR60_Z15	0.128616269	0.413416157	0.2	0	1
TMEM185A	0.128616269	0.412096991	0.2	0	1
HMGCL	0.128616269	0.411923391	0.2	0	1
THTPA	0.128616269	0.408367242	0.2	0	1
GTF2H4	0.128616269	0.402423494	0.2	0	1
TARBP1	0.128616269	0.397738489	0.2	0	1
MRFAP1L1	0.128616269	0.396777301	0.2	0	1
NUDT16	0.128616269	0.39635454	0.2	0	1
ZC3HC1	0.128616269	0.389413456	0.2	0	1
RAB28	0.128616269	0.386383547	0.2	0	1
HIST1H3A.7	0.128616269	0.383645982	0.2	0	1
MPP1	0.128616269	0.38085698	0.2	0	1
DLG1	0.128616269	0.378326833	0.2	0	1
SAR1B	0.128616269	0.378261791	0.2	0	1
ATRIP	0.128616269	0.374532031	0.2	0	1
NIPAL1	0.128616269	0.374221988	0.2	0	1
PPP2R2B	0.128616269	0.372927335	0.2	0	1
PLA2G12A	0.128616269	0.368254657	0.2	0	1
PROS1	0.128616269	0.366132531	0.2	0	1
WBSCR16	0.128616269	0.365039283	0.2	0	1
PACRGL	0.128616269	0.36438942	0.2	0	1
SSBP2	0.128616269	0.363770407	0.2	0	1
SNORD14.2	0.128616269	0.360129073	0.2	0	1
LRRC6	0.128616269	0.349951165	0.2	0	1
URGCP	0.128616269	0.347857529	0.2	0	1
CCDC38	0.128616269	0.336955708	0.2	0	1
ACY1	0.128616269	0.335116597	0.2	0	1
MFN2	0.128616269	0.333024851	0.2	0	1
PRSS56	0.128616269	0.331571384	0.2	0	1
MTFR1	0.128616269	0.325572105	0.2	0	1
EIF2AK1	0.128616269	0.324621567	0.2	0	1
TBCCD1	0.128616269	0.322684891	0.2	0	1
GLRX2	0.128616269	0.32252196	0.2	0	1
COPS4	0.128616269	0.318343722	0.2	0	1
FAIM	0.128616269	0.315850271	0.2	0	1
KLC4	0.128616269	0.315233034	0.2	0	1
THAP2	0.128616269	0.315057294	0.2	0	1
FBXO22	0.128616269	0.315043596	0.2	0	1
SERAC1	0.128616269	0.31471434	0.2	0	1
SLC2A1	0.128616269	0.312905324	0.2	0	1
C1GALT1C1	0.128616269	0.311348677	0.2	0	1
HNRPH1	0.128616269	0.308970189	0.2	0	1
NOC4L	0.128616269	0.306456208	0.2	0	1
C1ORF124	0.128616269	0.305808165	0.2	0	1
RAD51	0.128616269	0.301725888	0.2	0	1
SLC50A1	0.128616269	0.300848856	0.2	0	1
FAM104B	0.128616269	0.300792901	0.2	0	1
GLT8D1	0.128616269	0.300074115	0.2	0	1
HMMR	0.128616269	0.296337435	0.2	0	1
IFNLR1	0.128616269	0.295332712	0.2	0	1
NFKBIL1	0.128616269	0.293334705	0.2	0	1
RCAN1	0.128616269	0.29288236	0.2	0	1
RAB35	0.128616269	0.292844879	0.2	0	1
C4ORF52	0.128616269	0.289554131	0.2	0	1
SGOL1	0.128616269	0.288397731	0.2	0	1
GPATCH4	0.128616269	0.288022634	0.2	0	1
NKD2	0.128616269	0.285559733	0.2	0	1
CEPT1	0.128616269	0.285067479	0.2	0	1
RCN2	0.128616269	0.283610604	0.2	0	1
GPANK1	0.128616269	0.283280269	0.2	0	1
SNORA64.6	0.128616269	0.278009065	0.2	0	1
TCEANC2	0.128616269	0.277902505	0.2	0	1
TTC33	0.128616269	0.277206586	0.2	0	1
IQGAP3	0.128616269	0.276750148	0.2	0	1
PET112L	0.128616269	0.269363989	0.2	0	1
SEL1L	0.128616269	0.268593717	0.2	0	1
PDZK1	0.128616269	0.267562445	0.2	0	1
HDAC7	0.128616269	0.26690329	0.2	0	1
CPSF4	0.128616269	0.264823261	0.2	0	1
PLEKHG1.1	0.128616269	0.263538747	0.2	0	1
AGPAT4	0.128616269	0.263087238	0.2	0	1
KDM5B	0.128616269	0.262701364	0.2	0	1
TTK	0.128616269	0.262077303	0.2	0	1
DCTD	0.128616269	0.257559525	0.2	0	1
SMYD3	0.128616269	0.255962361	0.2	0	1
CHPT1	0.128616269	0.252847456	0.2	0	1
SEMA4B	0.128616269	0.250530526	0.2	0	1
RAB3GAP1	0.129384359	1.481332957	0.6	0.25	1
PGK1	0.129384359	0.721691168	0.6	0.25	1
PHC3	0.129384359	0.645924747	0.6	0.25	1
CAMK4	0.129384359	0.609880731	0.6	0.25	1
X4.Mar	0.129384359	0.521330066	0.6	0.25	1
ANAPC13	0.129384359	0.485726509	0.6	0.25	1
SH2D1A	0.129803068	0.497433071	0.7	0.333	1
ANP32A	0.129803068	0.385685499	0.7	0.333	1
ADAM10	0.130486304	-1.089043192	0.1	0.417	1
EVL	0.131648319	0.394038236	0.9	0.5	1
KBTBD2	0.135804349	-0.482995675	0.6	0.167	1
HIAT1	0.135804349	-0.513106595	0.6	0.167	1
GLIPR1	0.135804349	-0.686154131	0.2	0.5	1
AHI1	0.136800349	1.030688969	1	0.667	1
EEF1D	0.136800349	0.282734645	1	0.667	1
COL4A3BP	0.1384498	0.498234477	0.4	0.083	1
RER1	0.1384498	0.460975834	0.4	0.083	1
TCEB1	0.1384498	0.418072629	0.4	0.083	1
GET4	0.1384498	0.333095648	0.4	0.083	1
PDZD11	0.1384498	0.274907331	0.4	0.083	1
GFM2	0.1384498	-0.378200934	0.4	0.083	1
BCL7B	0.1384498	-0.393777637	0.4	0.083	1
FBXO9	0.1384498	-0.675549724	0.4	0.083	1
TUBGCP5	0.1384498	-1.16274997	0.4	0.083	1
CWC27	0.140164154	1.775048476	0.5	0.167	1
TBCE	0.140164154	1.025738931	0.5	0.167	1
GNL3	0.140164154	0.910968863	0.5	0.167	1
UCHL5	0.140164154	0.547149972	0.5	0.167	1
SUCLG2	0.140164154	0.500105442	0.5	0.167	1
SNX3	0.140164154	0.49212261	0.5	0.167	1
MSTO1	0.140164154	0.471289693	0.5	0.167	1
NSUN2	0.140164154	0.458733173	0.5	0.167	1
RALA	0.140164154	0.378417715	0.5	0.167	1
PTK2B	0.140164154	0.321973088	0.5	0.167	1
ASB8	0.140164154	0.300685025	0.5	0.167	1
COPB2	0.141512528	1.261630673	0.4	0.167	1
VOPP1	0.141512528	0.653966423	0.4	0.167	1
MESDC2	0.141512528	0.278692036	0.4	0.167	1
OSBPL11	0.141512528	0.277266256	0.4	0.167	1
ARID1B	0.142026894	0.784820459	0.7	0.5	1
PCBP1	0.1459208	0.27173743	0.7	0.417	1
UBE2K	0.146125855	1.94585389	0.5	0.25	1
TKT	0.146125855	1.14862649	0.5	0.25	1
KANSL3	0.146125855	1.079541346	0.5	0.25	1
MYLIP	0.146125855	1.072582616	0.5	0.25	1
TESC	0.146125855	0.979481278	0.5	0.25	1
MAML1	0.146125855	0.506310141	0.5	0.25	1
HMGB2	0.148621026	0.841806776	0.6	0.417	1
NASP	0.148621026	0.515271676	0.7	0.333	1
RNASE6	0.148621026	-1.083817271	0.4	0.583	1
FOXP1	0.149145357	1.397093312	0.6	0.25	1
HSPE1.1	0.149145357	0.650509613	0.6	0.25	1
HSPE1.4	0.149145357	0.639053951	0.6	0.25	1
RERE	0.149145357	0.613939023	0.6	0.25	1
BNIP3L	0.149145357	0.35907956	0.6	0.25	1
FAM208B	0.149145357	-1.32011432	0.3	0.5	1
CCT2	0.149689891	1.975953832	0.9	0.5	1
EIF3J	0.149689891	0.797103645	0.9	0.5	1
NCSTN	0.149820836	-1.549864201	0.3	0.583	1
RPL4	0.155116991	0.39526754	1	0.667	1
SRSF5	0.155116991	-0.674449063	0.8	0.833	1
CHD2	0.155761813	0.545510248	0.8	0.333	1
RHOH	0.160271066	1.266298502	0.6	0.333	1
NDUFB2	0.161515586	0.910540752	0.7	0.5	1
SERBP1	0.161515586	0.360891392	0.8	0.417	1
CAST	0.161515586	0.318428253	0.8	0.417	1
FAM46C	0.161515586	-0.793470369	0.5	0.667	1
CNST	0.16288303	0.782878132	0.5	0.167	1
FKBP1A.1	0.16288303	0.461287667	0.5	0.167	1
AZIN1	0.16288303	0.416312807	0.5	0.167	1
PAPD4	0.16288303	-1.005650791	0.2	0.417	1
EIF2AK3	0.163984385	-0.697626792	0.1	0.333	1
TAF2	0.163984385	-0.705571338	0.1	0.333	1
RNF5	0.163984385	-1.151182803	0.1	0.333	1
C6H5ORF24	0.165694575	1.16438577	0.4	0.167	1
PRELID1	0.165694575	0.692681172	0.4	0.167	1
HTATSF1	0.165694575	0.58343602	0.4	0.167	1
CDC40	0.165694575	0.500192175	0.4	0.167	1
SECISBP2L	0.165694575	0.419315138	0.4	0.167	1
KIAA0922	0.166098482	1.103026595	0.7	0.417	1
ISCU	0.166098482	0.450477807	0.7	0.417	1
MYO1G	0.168555399	2.213899046	0.5	0.25	1
TOPBP1	0.168555399	1.929722722	0.5	0.25	1
HCFC2	0.168555399	1.383615222	0.5	0.25	1
SETD7	0.168555399	0.809118246	0.5	0.25	1
DCTN2	0.168555399	0.754210284	0.5	0.25	1
XPO1	0.168555399	0.651711787	0.5	0.25	1
UBP1	0.168555399	0.584715942	0.5	0.25	1
PFDN2	0.168555399	0.478760233	0.5	0.25	1
MRPL51	0.169454115	0.793185791	0.7	0.333	1
CTBP1	0.169454115	-0.633895483	0.7	0.333	1
KCND1	0.170130216	2.363855083	0.3	0.083	1
KHNYN	0.170130216	1.69363513	0.3	0.083	1
MAP4K5	0.170130216	1.571585931	0.3	0.083	1
TMEM154	0.170130216	1.138307779	0.3	0.083	1
BLVRA	0.170130216	1.076937098	0.3	0.083	1
PLDN	0.170130216	0.977158296	0.3	0.083	1
TXNDC9	0.170130216	0.874128101	0.3	0.083	1
ASPM	0.170130216	0.81772931	0.3	0.083	1
PPIH	0.170130216	0.775130206	0.3	0.083	1
GIMAP8	0.170130216	0.721515826	0.3	0.083	1
POC1B	0.170130216	0.710386604	0.3	0.083	1
EMB	0.170130216	0.657139885	0.3	0.083	1
TAPT1	0.170130216	0.651858365	0.3	0.083	1
SNX9	0.170130216	0.632902916	0.3	0.083	1
MKRN2	0.170130216	0.588016727	0.3	0.083	1
CDK16	0.170130216	0.53632775	0.3	0.083	1
SLC12A2	0.170130216	0.531839429	0.3	0.083	1
EXOC5	0.170130216	0.463732599	0.3	0.083	1
PRKAG1	0.170130216	0.437487276	0.3	0.083	1
ALG13	0.170130216	0.404990774	0.3	0.083	1
KDM3A	0.170130216	0.383075215	0.3	0.083	1
DENR	0.170130216	0.363959458	0.3	0.083	1
OASL	0.170130216	0.361619712	0.3	0.083	1
PAR14	0.170130216	0.360450388	0.3	0.083	1
HDAC6	0.170130216	0.340115376	0.3	0.083	1
POLA1	0.170130216	0.310444573	0.3	0.083	1
FAM96A	0.170130216	0.285090611	0.3	0.083	1
CHP1	0.170130216	0.28300466	0.3	0.083	1
B3GNT2	0.170130216	0.275039764	0.3	0.083	1
MBNL3	0.170130216	0.269732952	0.3	0.083	1
HSPE1.3	0.171130744	0.537637392	0.6	0.25	1
X5_8S_rRNA.7	0.175238411	0.680297605	1	0.667	1
X5_8S_rRNA.9	0.175238411	0.680297605	1	0.667	1
X5_8S_rRNA.10	0.175238411	0.680297605	1	0.667	1
X5_8S_rRNA.11	0.175238411	0.680297605	1	0.667	1
GABARAP.1	0.176633188	0.648551809	0.7	0.583	1
ATRX	0.176942766	0.431280728	0.8	0.333	1
RNF145	0.182810162	0.701546915	0.6	0.333	1
FRG1	0.182810162	0.367740237	0.6	0.333	1
LGALS3	0.188274387	0.437744344	0.5	0.167	1
MEF2A	0.188274387	0.348986058	0.5	0.167	1
MST4	0.188274387	-0.322044873	0.5	0.167	1
HSPA4	0.188274387	-0.33746375	0.5	0.167	1
KIDINS220	0.188274387	-1.241538854	0.5	0.167	1
CCT3	0.188305965	1.166776625	0.7	0.417	1
CDC14A	0.188305965	0.512866874	0.7	0.417	1
HSP90B1	0.191343221	1.365593176	0.7	0.667	1
ZNF292	0.191343221	0.899651763	0.8	0.583	1
TMEM66	0.191343221	-0.815383354	0.6	0.75	1
FAM65B	0.192403956	0.391519147	0.7	0.333	1
ATP5F1	0.192403956	0.382992973	0.7	0.333	1
JTB	0.192403956	0.281963276	0.7	0.333	1
TCERG1	0.192403956	-0.343015098	0.7	0.333	1
PRDM2	0.192403956	-0.366556053	0.7	0.333	1
MCM9	0.192861353	1.976037619	0.4	0.167	1
RRM2	0.192861353	1.462361415	0.4	0.167	1
MCM4	0.192861353	1.257854238	0.4	0.167	1
MRPS6	0.192861353	1.132277612	0.4	0.167	1
CCT7	0.192861353	0.821199165	0.4	0.167	1
PSTPIP1	0.192861353	0.670292761	0.4	0.167	1
IP6K2	0.192861353	0.619052405	0.4	0.167	1
CDC42SE2	0.192861353	0.436521866	0.4	0.167	1
XPC	0.192861353	0.409047635	0.4	0.167	1
FKBP1A	0.192861353	0.326990072	0.4	0.167	1
NPC2	0.192861353	0.290907667	0.4	0.167	1
PRIM1	0.192861353	0.279520382	0.4	0.167	1
LINC00116	0.192915674	-0.583173497	0.1	0.333	1
JPH4	0.193474805	1.550942791	0.5	0.25	1
ITGB2	0.193474805	0.582398414	0.5	0.25	1
DCAF5	0.193474805	0.333496765	0.5	0.25	1
ORAI1	0.194924453	-0.74425805	0.3	0.583	1
PIK3R1	0.195457471	0.78762982	0.6	0.25	1
ZMYM4	0.195457471	0.260255188	0.6	0.25	1
X5_8S_rRNA.8	0.197246032	0.457564028	1	0.667	1
NFKBIA	0.197246032	0.363212903	1	0.667	1
PABPC3	0.198388941	0.542655706	1	0.833	1
MMU.4022	0.200198649	0.915573282	0.6	0.5	1
DNM3	0.202734008	2.160532936	0.3	0.083	1
UBASH3A	0.202734008	1.845080072	0.3	0.083	1
SERTAD2	0.202734008	1.485496528	0.3	0.083	1
CASP3	0.202734008	1.470445822	0.3	0.083	1
B3GAT2	0.202734008	1.394021712	0.3	0.083	1
USP45	0.202734008	1.369186573	0.3	0.083	1
C14ORF106	0.202734008	1.338041216	0.3	0.083	1
ARMCX5	0.202734008	1.155315865	0.3	0.083	1
CPSF2	0.202734008	1.09791032	0.3	0.083	1
IFNAR2	0.202734008	1.032584552	0.3	0.083	1
ZFAND2A	0.202734008	1.014105354	0.3	0.083	1
GMPPB	0.202734008	0.930554178	0.3	0.083	1
CHD7	0.202734008	0.930093582	0.3	0.083	1
TIMP1	0.202734008	0.921572528	0.3	0.083	1
RBBP5	0.202734008	0.907709237	0.3	0.083	1
MCRS1	0.202734008	0.895843413	0.3	0.083	1
PARP11	0.202734008	0.883009643	0.3	0.083	1
METTL14	0.202734008	0.882311656	0.3	0.083	1
DUSP22	0.202734008	0.858906057	0.3	0.083	1
HMGCS1	0.202734008	0.851148017	0.3	0.083	1
ATAD2	0.202734008	0.836027387	0.3	0.083	1
CPSF6	0.202734008	0.831590629	0.3	0.083	1
CCNA2	0.202734008	0.786835524	0.3	0.083	1
CEP83	0.202734008	0.781190943	0.3	0.083	1
MAP4.1	0.202734008	0.769285142	0.3	0.083	1
ZYG11B	0.202734008	0.734992673	0.3	0.083	1
TNFRSF4	0.202734008	0.707831501	0.3	0.083	1
IL15RA	0.202734008	0.67301395	0.3	0.083	1
ANAPC10	0.202734008	0.604764795	0.3	0.083	1
PDLIM2	0.202734008	0.587463137	0.3	0.083	1
MEAF6	0.202734008	0.578878845	0.3	0.083	1
MCM3	0.202734008	0.557445156	0.3	0.083	1
TMEM164	0.202734008	0.557091118	0.3	0.083	1
DLGAP5	0.202734008	0.551250283	0.3	0.083	1
TAF1B	0.202734008	0.545013917	0.3	0.083	1
AHCYL1	0.202734008	0.543944736	0.3	0.083	1
EHBP1	0.202734008	0.534049148	0.3	0.083	1
ZNF192	0.202734008	0.495257176	0.3	0.083	1
USP11	0.202734008	0.489540862	0.3	0.083	1
CDK7	0.202734008	0.475409034	0.3	0.083	1
NCAPG2	0.202734008	0.454273549	0.3	0.083	1
OARD1	0.202734008	0.436306088	0.3	0.083	1
PHAX	0.202734008	0.415462676	0.3	0.083	1
CEP63	0.202734008	0.406532777	0.3	0.083	1
PGD	0.202734008	0.377432218	0.3	0.083	1
AAAS	0.202734008	0.3416189	0.3	0.083	1
ARHGAP11A	0.202734008	0.327992436	0.3	0.083	1
FAM54A	0.202734008	0.304054424	0.3	0.083	1
PPIE	0.202734008	0.295580053	0.3	0.083	1
CNOT6L	0.205731866	-0.651965616	0.9	0.583	1
ZAP70	0.206442662	0.694983222	0.7	0.5	1
NDUFA1.1	0.206442662	0.374452995	0.8	0.417	1
NFKB1	0.207617411	1.046708499	0.6	0.333	1
HMGB1.1	0.208980042	0.662767911	0.9	0.75	1
HPS3	0.209367626	-0.253919263	0	0.167	1
TRIM24	0.209367626	-0.260230203	0	0.167	1
ERGIC1	0.209367626	-0.292944132	0	0.167	1
PMF1	0.209367626	-0.294041036	0	0.167	1
ZBED1	0.209367626	-0.309988783	0	0.167	1
ETV6	0.209367626	-0.328875704	0	0.167	1
USP53	0.209367626	-0.338595584	0	0.167	1
ISG20L2	0.209367626	-0.339207015	0	0.167	1
IMPAD1	0.209367626	-0.343623768	0	0.167	1
REC114	0.209367626	-0.348746725	0	0.167	1
FAAH	0.209367626	-0.349417857	0	0.167	1
RYK	0.209367626	-0.354729518	0	0.167	1
HSD17B6	0.209367626	-0.357703315	0	0.167	1
JAGN1	0.209367626	-0.366635002	0	0.167	1
SNORA31.20	0.209367626	-0.393986026	0	0.167	1
MTMR1	0.209367626	-0.403430119	0	0.167	1
ADCK2	0.209367626	-0.411535893	0	0.167	1
POLG	0.209367626	-0.446107759	0	0.167	1
SCML1	0.209367626	-0.446179612	0	0.167	1
SLC7A7	0.209367626	-0.450966455	0	0.167	1
IPO8	0.209367626	-0.451112049	0	0.167	1
FAM122B	0.209367626	-0.490121271	0	0.167	1
GXYLT1	0.209367626	-0.491883747	0	0.167	1
X1.Mar	0.209367626	-0.53432911	0	0.167	1
PDE7A	0.209367626	-0.55948193	0	0.167	1
NADKD1	0.209367626	-0.576020283	0	0.167	1
FAM3C	0.209367626	-0.62909794	0	0.167	1
C12ORF76	0.209367626	-0.646522149	0	0.167	1
TSPAN5	0.209367626	-0.658416638	0	0.167	1
ATP8B4	0.209367626	-0.659850633	0	0.167	1
GEMIN8	0.209367626	-0.71736071	0	0.167	1
PIGK	0.209367626	-0.750630277	0	0.167	1
CRTAP	0.209367626	-0.752614043	0	0.167	1
MTF1	0.209367626	-0.754640411	0	0.167	1
USP42	0.209367626	-0.766939414	0	0.167	1
RUNX1	0.209367626	-0.807878481	0	0.167	1
RNF170	0.209367626	-0.859154277	0	0.167	1
AASDH	0.209367626	-0.86853885	0	0.167	1
MMAB	0.209367626	-0.872438956	0	0.167	1
NSUN4	0.209367626	-0.893577651	0	0.167	1
TMEM187	0.209367626	-0.987781777	0	0.167	1
EFTUD1	0.209367626	-1.17130133	0	0.167	1
DHRS4	0.209367626	-1.284114957	0	0.167	1
EXD2	0.209367626	-1.313010625	0	0.167	1
PPP1R16A	0.209367626	-1.321738672	0	0.167	1
PNISR	0.211352607	0.29553877	0.8	0.5	1
ZFC3H1	0.21263058	0.945893886	0.7	0.417	1
RAB43	0.21263058	0.368041439	0.7	0.417	1
S100A11	0.215119725	1.001247402	0.8	0.583	1
ZFP106	0.216472826	-0.364367281	0.5	0.167	1
ANKHD1	0.217560473	1.460687488	0.7	0.333	1
CAP1	0.217560473	0.73032583	0.6	0.417	1
SHFM1	0.217560473	0.591715797	0.6	0.417	1
GPR65	0.217560473	0.561563639	0.6	0.417	1
SMARCC1	0.217560473	0.450855864	0.7	0.333	1
HBP1	0.217560473	0.416444824	0.7	0.333	1
JAK1	0.217915681	1.002510917	0.8	0.667	1
MTDH	0.219897505	0.537642374	0.8	0.75	1
CYFIP2	0.220899453	-0.483296326	0.7	0.25	1
TBK1	0.220999028	0.929311265	0.5	0.25	1
MOB1A	0.220999028	0.803037261	0.5	0.25	1
SH2D2A	0.220999028	0.740710563	0.5	0.25	1
H1FX	0.220999028	0.571321646	0.5	0.25	1
MED13L	0.220999028	0.531300729	0.5	0.25	1
AK2	0.220999028	0.411776617	0.5	0.25	1
TCEAL8	0.220999028	0.382849538	0.5	0.25	1
RB1CC1	0.220999028	0.371471952	0.5	0.25	1
LRRFIP2	0.220999028	0.343745219	0.5	0.25	1
LZIC	0.220999028	0.271549694	0.5	0.25	1
YLPM1	0.222228039	1.177054859	0.5	0.333	1
CDC42SE1	0.222228039	0.696639804	0.5	0.333	1
SEC24A	0.222228039	0.617907781	0.6	0.25	1
RPS27L	0.222228039	0.262935432	0.6	0.25	1
PDAP1	0.222228039	-0.436254804	0.6	0.25	1
